Make,Model,Trim,Start Year,End Year,Showroom Base Weight (lbs),Factory Rated HP,Factory Rated Torque,Power (2/3HP + 1/3Torque),Weight/ Power,Scaled Weight/ Power,SUSP Index,Performance Adjustment,Showroom Assessment,Base Classification,p,q,Selected,Assessment,,
Mini,Cooper S JCW,,2004,,2678,200,177,192.3,13.9,52.8,70,5,57.8,T4 ,FALSE,,FALSE,,5,FALSE
Mini,JCW GP,,2013,2013,2624,211,207,209.7,12.5,58.8,80,10,68.8,T3,FALSE,,FALSE,,10,FALSE
Mitsubishi,Eclipse GST,,1995,1999,2767,210,214,211.3,13.1,56.4,50,-5,51.4,T4 ,FALSE,,FALSE,,-5,FALSE
Mitsubishi,Eclipse GSX,,1995,1999,3157,210,214,211.3,14.9,48.5,65,2.5,51,T4 ,FALSE,,FALSE,,2.5,FALSE
Mitsubishi,Eclipse GT,,2000,2005,3053,200,205,201.7,15.1,47.7,55,-2.5,45.2,T4 ,FALSE,,FALSE,,-2.5,FALSE
Mitsubishi,Eclipse GT-6,,2006,2006,3472,263,260,262,13.3,55.7,55,-2.5,53.2,T4 ,FALSE,,FALSE,,-2.5,FALSE
Mitsubishi,Galant VR4,,1992,1996,3200,237,228,234,13.7,53.9,50,-5,48.9,T4 ,FALSE,,FALSE,,-5,FALSE
Mitsubishi,Galant VR4,,1996,2003,3400,276,271,274.3,12.4,59.3,55,-2.5,56.8,T4 ,FALSE,,FALSE,,-2.5,FALSE
Mitsubishi,Lancer Evo I,,1992,1993,2730,244,228,238.7,11.4,63.4,65,2.5,65.9,T3,FALSE,,FALSE,,2.5,FALSE
Mitsubishi,Lancer Evo II,,1994,1995,2756,260,228,249.3,11.1,65,70,5,70,T3,FALSE,,FALSE,,5,FALSE
Mitsubishi,Lancer Evo IX,,2005,2007,3285,286,289,287,11.4,63.4,80,10,73.4,T3,FALSE,,FALSE,,10,FALSE
Mitsubishi,Lancer Evo VII,,2001,2003,3086,280,283,281,11,65.3,75,7.5,72.8,T3,FALSE,,FALSE,,7.5,FALSE
Mitsubishi,Lancer Evo VIII,,2003,2005,3241,271,273,271.7,11.9,61.3,80,10,71.3,T3,FALSE,,FALSE,,10,FALSE
Mitsubishi,Lander Evo X,,2008,,3527,295,311,300.3,11.7,62.1,85,12.5,74.6,T3,FALSE,,FALSE,,12.5,FALSE
Nissan,200SX SE,,1995,1995,2366,115,108,112.7,21,22.8,45,-7.5,15.3,T5 ,FALSE,,FALSE,,-7.5,FALSE
