Make,Model,Trim,Start Year,End Year,Showroom Base Weight (lbs),Factory Rated HP,Factory Rated Torque,Power (2/3HP + 1/3Torque),Weight/ Power,Scaled Weight/ Power,SUSP Index,Performance Adjustment,Showroom Assessment,Base Classification,p,q,Selected,Assessment,,
Saab,9-5 Aero,,2000,2002,3470,250,258,252.7,13.7,53.6,55,-2.5,51.1,T4 ,FALSE,,FALSE,,-2.5,FALSE
Saab,9-5 SE,,1999,2003,3280,170,207,182.3,18,35.5,50,-5,30.5,T5 ,FALSE,,FALSE,,-5,FALSE
Saleen,S7,,2000,2004,2750,500,525,508.3,5.4,89,95,17.5,106.5,T1 ,FALSE,,FALSE,,17.5,FALSE
Saleen,S7 Twin Turbo,,2005,2009,2950,750,700,733.3,4,94.9,95,17.5,112.4,T1 ,FALSE,,FALSE,,17.5,FALSE
Scion,FR-S,,2013,2016,2758,200,151,183.7,15,48.2,70,5,55.1,T4 ,FALSE,,FALSE,,5,FALSE
Scion,tC,,2005,2010,2970,160,163,161,18.4,33.6,60,0,33.6,T5 ,FALSE,,FALSE,,0,FALSE
Smart,Fortwo,,2007,,1808,70,68,69.3,26.1,1.2,40,-10,-8.8,T5 ,FALSE,,FALSE,,-10,FALSE
Subaru,BRZ,,2013,2017,2760,200,151,183.7,15,48.1,75,7.5,55.6,T4 ,FALSE,,FALSE,,7.5,FALSE
Subaru,BRZ,,2017,2020,2777,205,156,188.7,14.7,49.4,75,7.5,56.9,T4 ,FALSE,,FALSE,,7.5,FALSE
Subaru,BRZ,,2022,,2815,228,184,213.3,13.2,55.9,78,9,64.9,T3,FALSE,,FALSE,,9,FALSE
Subaru,BRZ Performance Pack,,2017,2020,2777,205,156,188.7,14.7,49.4,78,9,58.4,T4 ,FALSE,,FALSE,,9,FALSE
Subaru,Forester,,1998,1998,3040,165,162,164,18.5,33.2,35,-12.5,20.7,T5 ,FALSE,,FALSE,,-12.5,FALSE
Subaru,Forester 2.5 XT,,2004,2005,3270,210,235,218.3,15,48.3,50,-5,43.3,T5 ,FALSE,,FALSE,,-5,FALSE
Subaru,Impreza 2.5 RS,,2000,2001,2845,165,162,164,17.3,38.3,60,0,38.3,T5 ,FALSE,,FALSE,,0,FALSE
Subaru,Impreza L,,1998,,2795,137,145,139.7,20,26.9,50,-5,21.9,T5 ,FALSE,,FALSE,,-5,FALSE
Subaru,Impreza Sport,,2017,,3015,152,145,149.7,20.1,26.4,60,0,26.4,T5 ,FALSE,,FALSE,,0,FALSE
Subaru,Impreza WRX,,2002,2005,3085,227,217,223.7,13.8,53.4,60,0,53.4,T4 ,FALSE,,FALSE,,0,FALSE
Subaru,Impreza WRX,,2008,2008,3142,224,226,224.7,14,52.6,60,0,52.6,T4 ,FALSE,,FALSE,,0,FALSE
Subaru,Impreza WRX,,2011,2014,3208,265,244,258,12.4,59.2,65,2.5,61.7,T3,FALSE,,FALSE,,2.5,FALSE
Subaru,Impreza WRX,,2015,2021,3364,268,258,264.7,12.7,58,70,5,63,T3,FALSE,,FALSE,,5,FALSE
Subaru,Impreza WRX,,2022,,3525,271,258,266.7,13.2,55.8,72.5,6.3,62.1,T3,FALSE,,FALSE,,6.3,FALSE
Subaru,Impreza WRX STi,,2004,2004,3263,300,300,300,10.9,65.8,80,10,75.8,T2,FALSE,,FALSE,,10,FALSE
Subaru,Impreza WRX Sti,,2005,2005,3298,300,300,300,11,65.3,80,10,75.3,T2,FALSE,,FALSE,,10,FALSE
Subaru,Impreza WRX Sti,,2006,2006,3351,300,300,300,11.2,64.5,80,10,74.5,T3,FALSE,,FALSE,,10,FALSE
Subaru,Impreza WRX STi,,2008,2014,3384,305,290,300,11.3,64.1,80,10,74.1,T3,FALSE,,FALSE,,10,FALSE
Subaru,Impreza WRX STi,,2015,2018,3386,305,290,300,11.3,64,80,10,74,T3,FALSE,,FALSE,,10,FALSE
Subaru,Legacy 2.5 GT,,1994,1999,3130,165,162,164,19.1,30.9,50,-5,25.9,T5 ,FALSE,,FALSE,,-5,FALSE
Subaru,Legacy 2.5 GT Spec B,,2006,2006,3400,250,250,250,13.6,54.2,55,-2.5,51.7,T4 ,FALSE,,FALSE,,-2.5,FALSE
Tesla,Model 3 Long Range AWD,,2018,2018,4072,346,376,356,11.4,63.4,70,5,68.4,T3,,,,,,
Tesla,Model 3 Long Range RWD,,2018,,3838,271,307,283,13.6,54.4,65,2.5,56.9,T4 ,FALSE,,FALSE,,2.5,FALSE
Tesla,Roadster Sport 2.5,,2008,2012,2723,288,295,290.3,9.4,72.1,75,7.5,79.6,T2,FALSE,,FALSE,,7.5,FALSE
Toyota,86,,2017,2020,2777,205,156,188.7,14.7,49.4,75,7.5,56.9,T4 ,FALSE,,FALSE,,7.5,FALSE
Toyota,86,,2022,,2815,228,184,213.3,13.2,55.9,78,9,64.9,T3,FALSE,,FALSE,,9,FALSE
Toyota, Corolla Hybrid XLE,,2023,2023,2850,134,156,141.3,20.2,26.3,55,-2.5,23.8,T5 ,FALSE,,FALSE,,-2.5,FALSE
Toyota,86 Spec Ed ( perf pack),,2017,2020,2777,205,156,188.7,14.7,49.4,78,9,58.4,T4 ,FALSE,,FALSE,,9,FALSE
Toyota,Celica GT-S,,1985,1989,2703,135,125,131.7,20.5,24.8,50,-5,19.8,T5 ,FALSE,,FALSE,,-5,FALSE
Toyota,Corolla GT-S (AE86),,1987,1987,2200,112,97,107,20.6,24.6,40,-10,14.6,T5 ,FALSE,,FALSE,,-10,FALSE
Toyota,Matrix,,2010,,2865,132,128,130.7,21.9,18.8,50,-5,13.8,T5 ,FALSE,,FALSE,,-5,FALSE
Toyota,Matrix S,,2010,,3360,158,162,159.3,21.1,22.4,50,-5,17.4,T5 ,FALSE,,FALSE,,-5,FALSE
Toyota,Matrix XRS,,2010,,3220,158,162,159.3,20.2,26.1,50,-5,21.1,T5 ,FALSE,,FALSE,,-5,FALSE
Toyota,MR2,,1990,1999,2599,135,145,138.3,18.8,32.2,60,0,32.2,T5 ,FALSE,,FALSE,,0,FALSE
Toyota,MR2 N/A,,1987,1989,2350,115,110,113.3,20.7,23.9,55,-2.5,21.4,T5 ,FALSE,,FALSE,,-2.5,FALSE
Toyota,MR2 Supercharged,,1988,1988,2494,145,140,143.3,17.4,38.1,55,-2.5,35.6,T5 ,FALSE,,FALSE,,-2.5,FALSE
Toyota,MR2 Sypder,,2000,2007,2195,138,125,133.7,16.4,42.2,70,5,47.2,T4 ,FALSE,,FALSE,,5,FALSE
Toyota,MR2 Turbo,,1990,1999,2782,200,200,200,13.9,52.9,60,0,52.9,T4 ,FALSE,,FALSE,,0,FALSE
Toyota,Supra 2.0,,2021,,3181,255,295,268.3,11.9,61.6,85,12.5,74.1,T3,FALSE,,FALSE,,12.5,FALSE
Toyota ,Supra 3.0,,2020,,3397,335,365,345,9.8,70.2,85,12.5,82.7,T2,FALSE,,FALSE,,12.5,FALSE
Toyota ,Supra 3.0,,2021,,3400,382,368,377.3,9,73.7,85,12.5,86.2,T2,FALSE,,FALSE,,12.5,FALSE
Triumph,TR4,,1961,1965,2130,100,127,109,19.5,28.9,30,-15,13.9,T5 ,FALSE,,FALSE,,-15,FALSE
Triumph,TR6,,1969,1976,2491,106,133,115,21.7,19.9,25,-17.5,2.4,T5 ,FALSE,,FALSE,,-17.5,FALSE
Triumph,TR7 Convertible,,1979,1979,2469,85,101,90.3,27.3,-4.2,40,-10,-14.2,T5 ,FALSE,,FALSE,,-10,FALSE
Triumph,TR7/8 Convertible,,1979,1980,2654,137,165,146.3,18.1,34.9,45,-7.5,27.4,T5 ,FALSE,,FALSE,,-7.5,FALSE
Ultima,GTR,,2006,,2183,534,528,532,4.1,94.6,115,27.5,122.1,#REF!,FALSE,,FALSE,,27.5,FALSE
Ultima,GTR720,,2006,,2183,720,580,673.3,3.2,98.2,115,27.5,125.7,#REF!,FALSE,,FALSE,,27.5,FALSE
Volkswagon,Golf GTI,,1998,1998,2565,115,122,117.3,21.9,19.1,50,-5,14.1,T5 ,FALSE,,FALSE,,-5,FALSE
Volkswagon,Golf GTI 1.8T,,2000,2000,2906,150,155,151.7,19.2,30.6,55,-2.5,28.1,T5 ,FALSE,,FALSE,,-2.5,FALSE
Volkswagon,Golf GTI 1.8T,,2002,2002,2935,180,174,178,16.5,41.9,55,-2.5,39.4,T5 ,FALSE,,FALSE,,-2.5,FALSE
Volkswagon,Golf R,,2015,,3340,292,280,288,11.6,62.7,75,7.5,70.2,T3,FALSE,,FALSE,,7.5,FALSE
Volkswagon,Golf R32,,2004,2004,3256,241,236,239.3,13.6,54.2,70,5,59.2,T4 ,FALSE,,FALSE,,5,FALSE
Volkswagon,Golf R32,,2008,2008,3547,250,236,245.3,14.5,50.6,75,7.5,58.1,T4 ,FALSE,,FALSE,,7.5,FALSE
Volkswagon,GTI Coupe,,2007,2009,3161,200,207,202.3,15.6,45.6,60,0,45.6,T4 ,FALSE,,FALSE,,0,FALSE
Volkswagon,Jetta 2.0T,,2006,2006,3259,200,207,202.3,16.1,43.5,55,-2.5,41,T5 ,FALSE,,FALSE,,-2.5,FALSE
Volkswagon,Jetta 2.5L,,2005,2005,3230,150,170,156.7,20.6,24.4,55,-2.5,21.9,T5 ,FALSE,,FALSE,,-2.5,FALSE
Volkswagon,Jetta SE,,2011,,3018,170,177,172.3,17.5,37.6,55,-2.5,35.1,T5 ,FALSE,,FALSE,,-2.5,FALSE
Volkswagon,Jetta VR6 GLS,,2002,2002,3113,174,181,176.3,17.7,37,50,-5,32,T5 ,FALSE,,FALSE,,-5,FALSE
Volkswagon,New Beetle GLS 1.8T,,2000,2000,2875,150,162,154,18.7,32.7,55,-2.5,30.2,T5 ,FALSE,,FALSE,,-2.5,FALSE
Volkswagon,Rabbit 2.5L Coupe,,2007,2007,3072,150,170,156.7,19.6,28.7,55,-2.5,26.2,T5 ,FALSE,,FALSE,,-2.5,FALSE
Volkswagon,Rabbit GTI,,1984,1984,1990,90,100,93.3,21.3,21.4,40,-10,11.4,T5 ,FALSE,,FALSE,,-10,FALSE
Volkswagon,Scirocco 16V,,1984,1984,2530,123,120,122,20.7,23.9,40,-10,13.9,T5 ,FALSE,,FALSE,,-10,FALSE
Volkswagon ,Mk7 GTI,,2015,2021,3116,220,258,232.7,13.4,55.1,70,5,60.1,T3,FALSE,,FALSE,,5,FALSE
Volkswagon,Golf TDI,,1991,1999,2450,108,173,129.7,18.9,31.7,50,-5,26.7,T5 ,FALSE,,FALSE,,-5,FALSE
Volkswagon,Jetta GLI-S,,2019,,3217,228,258,238,13.5,54.6,70,5,59.6,T4 ,FALSE,,FALSE,,5,FALSE
Volkswagon,Mk6 Golf GTI,,2010,2014,3100,200,207,202.3,15.3,46.9,65,2.5,49.4,T4 ,FALSE,,FALSE,,2.5,FALSE
Volkswagon,Mk7 GTI-S,,2015,,3116,220,258,232.7,13.4,55.1,70,5,60.1,T3,FALSE,,FALSE,,5,FALSE
Volkswagon,Mk8 Golf R,,2022,2024,3360,315,310,313.3,10.7,66.4,80,10,76.4,T2,FALSE,,FALSE,,10,FALSE
Volvo,V60 Polestar,,2017,,3966,362,347,357,11.1,64.8,75,7.5,72.3,T3,FALSE,,FALSE,,7.5,FALSE
Volvo,V70R,,2007,2007,3689,300,295,298.3,12.4,59.4,50,-5,54.4,T4 ,,,,,,
,,,,,,,,,,,,,,,FALSE,,FALSE,,,FALSE
,,,,,,,,,,,,,,,FALSE,,FALSE,,,FALSE
,,,,,,,,,,,,,,,FALSE,,FALSE,,,FALSE
,,,,,,,,,,,,,,,FALSE,,FALSE,,,FALSE
,,,,,,,,,,,,,,,FALSE,,FALSE,,,FALSE
,,,,,,,,,,,,,,,FALSE,,FALSE,,,FALSE
,,,,,,,,,,,,,,,FALSE,,FALSE,,,FALSE
,,,,,,,,,,,,,,,FALSE,,FALSE,,,FALSE
,,,,,,,,,,,,,,,FALSE,,FALSE,,,FALSE
,,,,,,,,,,,,,,,FALSE,,FALSE,,,FALSE
,,,,,,,,,,,,,,,FALSE,,FALSE,,,FALSE
,,,,,,,,,,,,,,,FALSE,,FALSE,,,FALSE
,,,,,,,,,,,,,,,FALSE,,FALSE,,,FALSE
,,,,,,,,,,,,,,,FALSE,,FALSE,,,FALSE
,,,,,,,,,,,,,,,FALSE,,FALSE,,,FALSE
,,,,,,,,,,,,,,,FALSE,,FALSE,,,FALSE
,,,,,,,,,,,,,,,FALSE,,FALSE,,,FALSE
,,,,,,,,,,,,,,,FALSE,,FALSE,,,FALSE
,,,,,,,,,,,,,,,FALSE,,FALSE,,,FALSE
,,,,,,,,,,,,,,,FALSE,,FALSE,,,FALSE
,,,,,,,,,,,,,,,FALSE,,FALSE,,,FALSE
,,,,,,,,,,,,,,,FALSE,,FALSE,,,FALSE
,,,,,`,,,,,,,,,,FALSE,,FALSE,,,FALSE
