Make,Model,Trim,Start Year,End Year,Showroom Base Weight (lbs),Factory Rated HP,Factory Rated Torque,Power (2/3HP + 1/3Torque),Weight/ Power,Scaled Weight/ Power,SUSP Index,Performance Adjustment,Showroom Assessment,Base Classification,p,q,Selected,Assessment,,,source_csv_row,reject_reason
Cadillac,CTS-V,,2009,,4250,556,551,554.3,7.7,79.4,60,0,79.4,T2,FALSE,,FALSE,,FALSE,FALSE,114,row 114: Model 'CTS-V' does not match any model key/name for make 'cadillac'
Chevrolet,Corvet,,1994,1994,3512,300,340,313.3,11.2,64.4,76,8,72.4,T3,,,,,,,128,row 128: Model 'Corvet' does not match any model key/name for make 'chevrolet'
Datsun,240Z,,1973,1973,2355,150,146,148.7,15.8,44.7,55,-2.5,42.2,T5 ,FALSE,,FALSE,,FALSE,FALSE,151,row 151: Model '240Z' does not match any model key/name for make 'datsun'
Datsun,280Z,,1975,1978,2692,170,177,172.3,15.6,45.6,55,-2.5,43.1,T5 ,FALSE,,FALSE,,FALSE,FALSE,152,row 152: Model '280Z' does not match any model key/name for make 'datsun'
Ferrari,250 GTO,,1962,1964,2425,302,246,283.3,8.6,75.6,50,-5,70.6,T3,FALSE,,FALSE,,FALSE,FALSE,166,row 166: Model '250 GTO' does not match any model key/name for make 'ferrari'
Ferrari,308 GTB/GTS,,1977,1985,2778,240,209,229.7,12.1,60.6,65,2.5,63.1,T3,FALSE,,FALSE,,FALSE,FALSE,167,row 167: Model '308 GTB/GTS' does not match any model key/name for make 'ferrari'
Ferrari,F360 Modena,,1999,2005,3197,400,275,358.3,8.9,74.1,90,15,89.1,T2,FALSE,,FALSE,,FALSE,FALSE,171,row 171: Model 'F360 Modena' does not match any model key/name for make 'ferrari'
Ferrari,F458 Italia,,2010,,3274,562,398,507.3,6.5,84.6,95,17.5,102.1,T1 ,FALSE,,FALSE,,FALSE,FALSE,174,row 174: Model 'F458 Italia' does not match any model key/name for make 'ferrari'
Ford,Shelby GT,,2007,2008,3475,325,330,326.7,10.6,66.8,60,0,66.8,T3,FALSE,,FALSE,,FALSE,FALSE,216,row 216: Model 'Shelby GT' does not match any model key/name for make 'ford'
Ford,Shelby GT350 Base (non-Track Pack),,2016,2020,3796,526,429,493.7,7.7,79.3,80,10,89.3,T2,FALSE,,FALSE,,FALSE,FALSE,217,row 217: Model 'Shelby GT350 Base (non-Track Pack)' does not match any model key/name for make 'ford'
Ford,Shelby GT350 Base (with Track Pack),,2016,2020,3796,526,429,493.7,7.7,79.3,85,12.5,91.8,T2,FALSE,,FALSE,,FALSE,FALSE,218,row 218: Model 'Shelby GT350 Base (with Track Pack)' does not match any model key/name for make 'ford'
Ford,Shelby GT350 R,,2016,,3718,526,429,493.7,7.5,80,90,15,95,T1 ,FALSE,,FALSE,,FALSE,FALSE,219,row 219: Model 'Shelby GT350 R' does not match any model key/name for make 'ford'
Ford,Shelby GT500,,2005,2009,3920,500,480,493.3,7.9,78.2,70,5,83.2,T2,FALSE,,FALSE,,FALSE,FALSE,220,row 220: Model 'Shelby GT500' does not match any model key/name for make 'ford'
Ford,Shelby GT500,,2010,2010,3940,540,510,530,7.4,80.4,65,2.5,82.9,T2,FALSE,,FALSE,,FALSE,FALSE,221,row 221: Model 'Shelby GT500' does not match any model key/name for make 'ford'
Ford,Shelby GT500,,2011,2012,3871,550,510,536.7,7.2,81.3,70,5,86.3,T2,FALSE,,FALSE,,FALSE,FALSE,222,row 222: Model 'Shelby GT500' does not match any model key/name for make 'ford'
