Make,Model,Trim,Start Year,End Year,Showroom Base Weight (lbs),Factory Rated HP,Factory Rated Torque,Power (2/3HP + 1/3Torque),Weight/ Power,Scaled Weight/ Power,SUSP Index,Performance Adjustment,Showroom Assessment,Base Classification,p,q,Selected,Assessment,,,source_csv_row,reject_reason
,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,FALSE,492,row 492: skipped (empty make and model)
,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,FALSE,493,row 493: skipped (empty make and model)
,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,FALSE,494,row 494: skipped (empty make and model)
,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,FALSE,495,row 495: skipped (empty make and model)
,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,FALSE,496,row 496: skipped (empty make and model)
,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,FALSE,497,row 497: skipped (empty make and model)
,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,FALSE,498,row 498: skipped (empty make and model)
,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,FALSE,499,row 499: skipped (empty make and model)
,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,FALSE,500,row 500: skipped (empty make and model)
,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,FALSE,501,row 501: skipped (empty make and model)
,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,FALSE,502,row 502: skipped (empty make and model)
,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,FALSE,503,row 503: skipped (empty make and model)
,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,FALSE,504,row 504: skipped (empty make and model)
,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,FALSE,505,row 505: skipped (empty make and model)
,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,FALSE,506,row 506: skipped (empty make and model)
,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,FALSE,507,row 507: skipped (empty make and model)
,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,FALSE,508,row 508: skipped (empty make and model)
,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,FALSE,509,row 509: skipped (empty make and model)
,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,FALSE,510,row 510: skipped (empty make and model)
,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,FALSE,511,row 511: skipped (empty make and model)
,,,,,,,,,,,,,,,FALSE,,FALSE,,FALSE,FALSE,512,row 512: skipped (empty make and model)
,,,,,`,,,,,,,,,,FALSE,,FALSE,,FALSE,FALSE,513,row 513: skipped (empty make and model)
